daynum,day,min,max,min50s,max50s,min60s,max60s,min70s,max70
143,5/23,48.1,70.7,48.8,71.8,47.0,69.5,51.1,71.3
144,5/24,47.8,70.8,49.1,72.2,46.2,69.5,51.7,70.6
145,5/25,48.0,71.0,49.2,72.2,46.4,69.9,50.9,71.3
146,5/26,48.0,70.9,49.3,71.9,46.7,70.1,49.3,68.7
147,5/27,48.1,71.1,49.6,71.8,46.7,70.5,47.0,69.0
148,5/28,48.5,71.9,50.3,73.0,46.8,70.9,47.6,70.3
149,5/29,49.1,72.9,51.2,74.4,47.0,71.2,49.6,74.9
150,5/30,50.0,73.3,52.0,74.6,47.9,71.6,51.1,77.3
151,5/31,50.7,74.0,52.4,75.1,48.9,72.4,52.4,79.3
152,6/1,51.3,74.4,52.6,75.5,49.8,72.9,54.4,78.9
153,6/2,52.0,75.0,52.8,75.4,50.8,74.3,56.6,78.3
154,6/3,52.8,76.0,53.0,76.1,52.0,75.9,58.4,76.9
155,6/4,53.3,76.0,53.0,75.6,53.0,76.7,58.6,74.1
156,6/5,53.3,75.9,52.5,74.9,53.6,77.2,57.1,73.1
157,6/6,53.2,76.3,52.1,75.2,54.0,77.8,56.6,72.9
158,6/7,53.3,76.5,51.8,75.6,54.5,77.8,56.3,72.4
159,6/8,53.4,76.4,52.0,75.5,54.5,77.4,57.0,75.3
160,6/9,53.4,76.5,51.8,76.0,54.5,76.9,57.6,76.9
161,6/10,53.5,76.0,52.0,76.1,54.6,75.6,57.0,77.6
162,6/11,53.4,75.7,52.1,76.1,54.5,75.0,55.9,79.3
163,6/12,53.8,75.6,52.9,76.2,54.4,74.8,55.9,78.7
164,6/13,53.9,75.6,53.6,76.6,53.9,74.5,55.3,77.1
165,6/14,54.1,75.7,54.2,76.5,53.7,74.9,56.0,75.9
166,6/15,54.2,76.1,54.2,76.9,54.0,75.5,56.4,74.3
167,6/16,54.6,76.2,54.7,76.8,54.2,75.6,57.1,76.0
168,6/17,54.8,76.7,54.9,77.1,54.5,76.4,58.1,76.0
169,6/18,55.2,77.1,55.5,77.8,54.6,76.6,58.6,75.4
170,6/19,55.5,77.8,55.9,78.6,54.7,77.2,59.4,74.6
171,6/20,55.9,78.2,56.0,79.1,55.4,77.6,59.1,75.6
172,6/21,56.5,78.8,56.6,80.0,56.2,77.8,57.9,77.1
173,6/22,57.0,79.0,57.4,80.6,56.7,77.6,56.4,77.6
174,6/23,57.3,79.3,58.1,81.3,56.7,77.8,54.3,74.1
175,6/24,57.5,79.4,58.7,81.2,56.6,78.1,54.4,73.6
176,6/25,57.6,79.9,58.7,81.3,56.9,79.2,54.4,74.3
177,6/26,57.8,80.2,58.7,81.0,57.4,79.8,52.4,75.6
178,6/27,58.3,80.5,59.0,81.3,58.1,80.3,53.7,74.1
179,6/28,58.2,80.4,59.0,81.0,57.9,80.5,53.3,72.2
180,6/29,58.2,80.6,59.1,80.9,57.9,81.3,52.6,70.6
181,6/30,58.5,80.9,59.0,80.5,58.5,82.1,53.0,73.0
